Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,3.3,3.3,2.2,2.2,1.6,1.6,1.4,1.4,1.0,1.0,1.1,1.1
2004,0.2,0.2,0.5,0.5,1.4,1.4,1.2,1.2,2.0,2.0,2.2,2.2
2005,1.6,1.6,2.1,2.1,1.1,1.1,2.2,2.2,2.8,2.8,2.0,2.0
2006,2.9,2.9,3.2,3.2,3.9,3.9,3.8,3.8,2.5,2.5,3.4,3.4
2007,3.2,3.2,3.3,3.3,3.4,3.4,2.6,2.6,3.3,3.3,3.8,3.8
2008,2.8,2.8,2.9,2.9,4.2,4.2,4.2,4.2,3.6,3.6,0.0,0.0
2009,1.2,1.2,0.8,0.8,0.2,0.2,0.2,0.2,0.1,0.1,2.6,2.6
2010,1.8,1.8,1.7,1.7,1.1,1.1,1.0,1.0,0.9,0.9,1.5,1.5
2011,1.7,1.7,2.8,2.8,2.4,2.4,2.9,2.9,3.2,3.2,2.9,2.9
2012,3.0,3.0,2.1,2.1,2.6,2.6,2.8,2.8,3.2,3.2,2.2,2.2
2013,2.4,2.4,2.4,2.4,2.6,2.6,2.0,2.0,1.6,1.6,2.6,2.6
2014,2.4,2.4,2.8,2.8,3.0,3.0,3.0,3.0,3.2,3.2,2.7,2.7
2015,2.5,2.5,2.4,2.4,2.3,2.3,2.6,2.6,2.6,2.6,3.2,3.2
2016,3.0,3.0,2.7,2.7,2.7,2.7,3.1,3.1,3.6,3.6,3.5,3.5
