DATE,POP
01/01/1970,715.674
01/01/1971,708.1
01/01/1972,700.2
01/01/1973,700
01/01/1974,698.4
01/01/1975,686.1
01/01/1976,686.1
01/01/1977,679.4
01/01/1978,677.7
01/01/1979,675.8
01/01/1980,678.974
01/01/1981,686.915
01/01/1982,695.546
01/01/1983,704.809
01/01/1984,713.196
01/01/1985,727.977
01/01/1986,737.396
01/01/1987,736.499
01/01/1988,730.471
01/01/1989,725.889
01/01/1990,723.496
01/01/1991,729.708
01/01/1992,734.861
01/01/1993,740.277
01/01/1994,742.316
01/01/1995,746.386
01/01/1996,753.934
01/01/1997,762.953
01/01/1998,770.262
01/01/1999,774.716
01/01/2000,777.34
01/01/2001,784.677
01/01/2002,779.447
01/01/2003,775.663
01/01/2004,773.556
01/01/2005,777.835
01/01/2006,786.187
01/01/2007,799.185
01/01/2008,807.904
01/01/2009,815.184
01/01/2010,805.519
01/01/2011,815.694
01/01/2012,828.963
01/01/2013,839.695
01/01/2014,850.918
01/01/2015,863.237
01/01/2016,871.343
01/01/2017,877.471
01/01/2018,879.676
01/01/2019,878.826
01/01/2020,870.014
01/01/2021,815.201
