Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,6.7,6.5,6.6,6.4,6.3,7.1,6.9,6.6,6.3,6.1,6.1,5.5
2004,6.2,5.9,6.1,5.6,5.3,5.7,5.8,5.4,5.1,5.1,5.1,4.7
2005,5.2,5.2,5.1,4.7,4.5,5.0,5.0,4.8,4.6,4.5,4.6,4.1
2006,4.5,4.5,4.4,4.1,3.8,4.3,4.5,4.3,4.0,3.8,4.0,3.7
2007,4.4,4.2,4.2,4.0,3.9,4.5,4.7,4.6,4.4,4.4,4.4,4.4
2008,4.8,4.7,5.0,4.6,5.1,5.7,6.1,6.3,6.1,6.4,6.7,7.1
2009,8.4,8.8,9.3,9.1,9.5,10.3,10.4,10.5,10.3,10.4,10.1,10.1
2010,10.6,10.4,10.5,10.0,9.8,10.2,10.4,10.3,9.9,9.8,10.0,9.5
2011,10.0,9.7,9.6,9.1,9.0,9.7,9.6,9.5,9.1,8.9,8.6,8.3
2012,8.7,8.6,8.5,7.8,7.9,8.4,8.4,8.1,7.4,7.4,7.1,7.0
2013,7.5,7.1,6.8,6.3,6.3,6.9,6.9,6.6,6.3,6.3,5.9,5.6
2014,5.9,5.9,5.9,5.0,5.1,5.4,5.7,5.5,5.0,4.9,4.8,4.4
2015,4.9,4.6,4.5,4.2,4.2,4.5,4.6,4.3,4.0,4.0,3.9,3.8
2016,4.0,4.0,4.0,3.8,3.5,4.1,4.1,4.0,3.8,3.8,3.6,3.5
